name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,5451,,1359,2981,1,15.39,2,120,,connector,20,"LINESTRING (-111.9337196 33.4169362, -111.9338744 33.4168869)",auto;bike;walk,1,0,,
,5452,,2982,1314,1,12.3,2,120,,connector,20,"LINESTRING (-111.9328084 33.4167226, -111.9326791 33.4166993)",auto;bike;walk,1,0,,
,5453,,1314,2982,1,12.3,2,120,,connector,20,"LINESTRING (-111.9326791 33.4166993, -111.9328084 33.4167226)",auto;bike;walk,1,0,,
,5454,,2983,2386,1,15.9,2,120,,connector,20,"LINESTRING (-111.9332385 33.4172730, -111.9333781 33.4173559)",auto;bike;walk,1,0,,
,5455,,2386,2983,1,15.9,2,120,,connector,20,"LINESTRING (-111.9333781 33.4173559, -111.9332385 33.4172730)",auto;bike;walk,1,0,,
,5456,,2984,2355,1,18.31,2,120,,connector,20,"LINESTRING (-111.9328714 33.4161890, -111.9326748 33.4161796)",auto;bike;walk,1,0,,
,5457,,2355,2984,1,18.31,2,120,,connector,20,"LINESTRING (-111.9326748 33.4161796, -111.9328714 33.4161890)",auto;bike;walk,1,0,,
,5458,,2985,2506,1,50.88,2,120,,connector,20,"LINESTRING (-111.9318735 33.4152511, -111.9314140 33.4150018)",auto;bike;walk,1,0,,
,5459,,2506,2985,1,50.88,2,120,,connector,20,"LINESTRING (-111.9314140 33.4150018, -111.9318735 33.4152511)",auto;bike;walk,1,0,,
,5460,,2986,2398,1,34.23,2,120,,connector,20,"LINESTRING (-111.9312302 33.4154747, -111.9308628 33.4154538)",auto;bike;walk,1,0,,
,5461,,2398,2986,1,34.23,2,120,,connector,20,"LINESTRING (-111.9308628 33.4154538, -111.9312302 33.4154747)",auto;bike;walk,1,0,,
,5462,,2987,1319,1,38.11,2,120,,connector,20,"LINESTRING (-111.9333251 33.4167541, -111.9337313 33.4168004)",auto;bike;walk,1,0,,
