o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,geometry
63,G3,126,gate26,0.8540214254481673,"LINESTRING (-111.93358072000002 33.420399995000004, -111.94278264 33.420399995000004)"
63,G3,127,gate27,0.8767855623166657,"LINESTRING (-111.93358072000002 33.420399995000004, -111.94278264 33.418615224999996)"
63,G3,128,gate28,0.9417663677820636,"LINESTRING (-111.93358072000002 33.420399995000004, -111.94278264 33.416830454999996)"
63,G3,129,gate29,1.0410886186330648,"LINESTRING (-111.93358072000002 33.420399995000004, -111.94278264 33.415045685)"
63,G3,130,gate30,1.910821446803225,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.431108615)"
63,G3,131,gate31,1.7938912794455875,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.429323845)"
63,G3,132,gate32,1.6922245379435423,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.427539075)"
63,G3,133,gate33,1.6087176636375096,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.425754305)"
63,G3,134,gate34,1.546315558875776,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.423969535)"
63,G3,135,gate35,1.507641116638975,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736000002 33.422184765000004)"
63,G3,136,gate36,1.494537495711459,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.420399995000004)"
63,G3,137,gate37,1.5076715743504363,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.418615224999996)"
63,G3,138,gate38,1.546374941477996,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.416830454999996)"
63,G3,139,gate39,1.6088032831333245,"LINESTRING (-111.93358072000002 33.420399995000004, -111.91747736 33.415045685)"
64,G4,0,A0,1.4653103509319336,"LINESTRING (-111.93128024 33.420399995000004, -111.94048216 33.431108615)"
64,G4,1,A1,1.3520658364873348,"LINESTRING (-111.93128024 33.420399995000004, -111.93818168 33.431108615)"
64,G4,2,A2,1.2649851574130992,"LINESTRING (-111.93128024 33.420399995000004, -111.93588120000001 33.431108615)"
64,G4,3,A3,1.2097316682452863,"LINESTRING (-111.93128024 33.420399995000004, -111.93358072000002 33.431108615)"
64,G4,4,A4,1.1907442168902063,"LINESTRING (-111.93128024 33.420399995000004, -111.93128024 33.431108615)"
64,G4,5,A5,1.2097316682452863,"LINESTRING (-111.93128024 33.420399995000004, -111.92897976 33.431108615)"
64,G4,6,A6,1.2649851574130992,"LINESTRING (-111.93128024 33.420399995000004, -111.92667927999999 33.431108615)"
64,G4,7,A7,1.3520658364873348,"LINESTRING (-111.93128024 33.420399995000004, -111.92437879999999 33.431108615)"
64,G4,8,A8,1.4653103509319336,"LINESTRING (-111.93128024 33.420399995000004, -111.92207832000001 33.431108615)"
64,G4,9,A9,1.5991699859270514,"LINESTRING (-111.93128024 33.420399995000004, -111.91977784000001 33.431108615)"
64,G4,10,B0,1.3091641671340395,"LINESTRING (-111.93128024 33.420399995000004, -111.94048216 33.429323845)"
64,G4,11,B1,1.1810384657028523,"LINESTRING (-111.93128024 33.420399995000004, -111.93818168 33.429323845)"
64,G4,12,B2,1.080255800051432,"LINESTRING (-111.93128024 33.420399995000004, -111.93588120000001 33.429323845)"
64,G4,13,B3,1.0149941095899533,"LINESTRING (-111.93128024 33.420399995000004, -111.93358072000002 33.429323845)"
64,G4,14,B4,0.992286846714902,"LINESTRING (-111.93128024 33.420399995000004, -111.93128024 33.429323845)"
64,G4,15,B5,1.0149941095899533,"LINESTRING (-111.93128024 33.420399995000004, -111.92897976 33.429323845)"
64,G4,16,B6,1.080255800051432,"LINESTRING (-111.93128024 33.420399995000004, -111.92667927999999 33.429323845)"
64,G4,17,B7,1.1810384657028523,"LINESTRING (-111.93128024 33.420399995000004, -111.92437879999999 33.429323845)"
64,G4,18,B8,1.3091641671340395,"LINESTRING (-111.93128024 33.420399995000004, -111.92207832000001 33.429323845)"
64,G4,19,B9,1.4574393572391966,"LINESTRING (-111.93128024 33.420399995000004, -111.91977784000001 33.429323845)"
64,G4,20,C0,1.1659579192431575,"LINESTRING (-111.93128024 33.420399995000004, -111.94048216 33.427539075)"
64,G4,21,C1,1.0199962498061923,"LINESTRING (-111.93128024 33.420399995000004, -111.93818168 33.427539075)"
64,G4,22,C2,0.9013813839966823,"LINESTRING (-111.93128024 33.420399995000004, -111.93588120000001 33.427539075)"
64,G4,23,C3,0.8220377342960367,"LINESTRING (-111.93128024 33.420399995000004, -111.93358072000002 33.427539075)"
64,G4,24,C4,0.7938294798078983,"LINESTRING (-111.93128024 33.420399995000004, -111.93128024 33.427539075)"
64,G4,25,C5,0.8220377342960367,"LINESTRING (-111.93128024 33.420399995000004, -111.92897976 33.427539075)"
64,G4,26,C6,0.9013813839966823,"LINESTRING (-111.93128024 33.420399995000004, -111.92667927999999 33.427539075)"
64,G4,27,C7,1.0199962498061923,"LINESTRING (-111.93128024 33.420399995000004, -111.92437879999999 33.427539075)"
64,G4,28,C8,1.1659579192431575,"LINESTRING (-111.93128024 33.420399995000004, -111.92207832000001 33.427539075)"
